# AUTO-GENERATED. DO NOT EDIT MANUALLY.
schema_version,checkpoint_id,model_id,checkpoint_name,modalities,weight_url,provider,access_type,requires_auth,redistribution_allowed,license,framework,input_size,normalization,embedding_dim,sha256,source_commit,verification_status,last_verified,provenance,notes
1.0,preti-default,preti,Default,"[""CFP""]",https://drive.google.com/file/d/1mEFm3bxSPPOm4bLPC9Ey64oeq-6F0S0G/view?usp=drive_link,google_drive,open,False,unknown,,pytorch,512 recommended by official dataset contract,官方训练代码包含配对图像、ROI mask和随机增强；未找到可独立复现的单图分类评测预处理契约,,c6f7ca533c6d609a691a7f0ac3234bee78fe1116da714d9929308eaeaf409395,2ac2b0f123d69151877ebd44a33edfb026cdac45,partially_verified,2026-07-31,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 14, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""本地checkpoint容器已只读核验；因缺少官方要求的患者级配对、ROI mask、年龄及性别元数据，未运行单图Adapter smoke，也未重新分发权重。""]"
1.0,ret-clip-default,ret-clip,Default,"[""CFP"", ""text""]",https://drive.google.com/file/d/1lYrAg5qzFbNghEW-3UB36v9WL-mo5eN9/view?usp=sharing,google_drive,open,False,unknown,,pytorch,224,RGB直接缩放至224×224（bicubic），CLIP mean/std,512,539819ae5ce4c13ea05aa00c5f270eb8432bf02d9ea7f695a9168b97540d1850,1ddb9a1d331eba9e0a2675f3273e7cbcea0914bd,partially_verified,2026-07-31,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 12, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""A6000本地GPU smoke：官方ViT-B/16视觉分支152/152键严格匹配，12张有效图像成功、1张坏图隔离；权重未重新分发。""]"
1.0,retfound-cfp,retfound,CFP,"[""CFP""]",https://huggingface.co/YukunZhou/RETFound_mae_natureCFP,huggingface,auth_required,True,unknown,,PyTorch,"256x256 RGB, bicubic resize and center crop","ImageNet mean=(0.485,0.456,0.406), std=(0.229,0.224,0.225)",1024,e1e4f66a1b792eeb6e2efaf158f33be35c8255f36b3d17ed67cd5129da246485,,partially_verified,2026-07-11,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 1, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified."", ""Local authenticated weight matched the recorded SHA256; GPU image-encoder smoke passed without redistributing the checkpoint.""]"
1.0,retfound-green-v0.1,retfound-green,v0.1,"[""CFP""]",https://github.com/justinengelmann/RETFound_Green/releases/tag/v0.1,github_release,open,False,unknown,,PyTorch/timm,"392x392 RGB, direct bicubic resize","mean=(0.5,0.5,0.5), std=(0.5,0.5,0.5)",384,431de5dbc1bebbb32f60e2c0bcf8daa4f8bcbf06f7cb1e1dc97ec589713942e1,,partially_verified,2026-07-30,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 8, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified."", ""Local A6000 GPU smoke passed with the official DINOv2 ViT-S/14 register-token structure; weights are not redistributed.""]"
1.0,retfound-oct,retfound,OCT,"[""OCT""]",https://huggingface.co/YukunZhou/RETFound_mae_natureOCT,huggingface,auth_required,True,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 1, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,retizero-default,retizero,Default,"[""CFP"", ""text""]",https://drive.google.com/file/d/14bMmnefO73_NL1Xc4x0A5qFNbuI7GqKM/view?usp=sharing,google_drive,open,False,unknown,,pytorch,224,RGB直接缩放至224×224，ImageNet mean/std,1024,7d06d29441c981898bbb56abdaae1eb97e205448f0a9bc2a68e2aa9431601ede,d72aadc692fbe33b182c79711bccb397edffb419,partially_verified,2026-07-31,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 6, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""A6000本地GPU smoke：官方rank-8 LoRA ViT-L/16视觉分支390/390键严格匹配，12张有效图像成功、1张坏图隔离；权重未重新分发。""]"
1.0,urfound-default,urfound,Default,"[""CFP"", ""OCT"", ""text""]",https://huggingface.co/yyyyk/UrFound,huggingface,open,False,unknown,,pytorch,224,RGB短边缩放至256（bicubic）、中心裁剪224×224，ImageNet mean/std,768,8a26bf1a64d449d30fe6fc5faabea48431aa6c15a743d324b8e16271109942e3,6678be52afdf6c30114fb1d5f733be1282374ada,partially_verified,2026-07-31,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 15, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""A6000本地GPU smoke：官方ViT-B/16编码器150/150键严格匹配，12张有效图像成功、1张坏图隔离；权重未重新分发。""]"
1.0,vilref-default,vilref,Default,"[""CFP"", ""text""]",https://drive.google.com/file/d/13YY2Qto4Xzx-gcOJB1kLdp1pqfjZEnxA/view?usp=drive_link,google_drive,open,False,unknown,,pytorch,224,RGB直接缩放至224×224（bicubic），CLIP mean/std,512,7b0c0597532bfa8492c83d63140d70a9358cd27e86966333981aec3967fe6ef9,3a01b908f72abab04661bba80403989f5271b990,partially_verified,2026-07-31,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 13, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""A6000本地GPU smoke：官方ViT-B/16视觉分支152/152键严格匹配，12张有效图像成功、1张坏图隔离；权重未重新分发。""]"
1.0,visionfm-external-eye,visionfm,External Eye,"[""external_eye""]",https://drive.google.com/file/d/16zGHTD4ZcGAYW382kKHBw3TU6D1OtvTD/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-ffa,visionfm,FFA,"[""FFA""]",https://drive.google.com/file/d/128izBUNV00Ojb9w9Dq3GhBvhWqzU-mla/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-fundus,visionfm,Fundus,"[""CFP""]",https://drive.google.com/file/d/13uWm0a02dCWyARUcrCdHZIcEgRfBmVA4/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-mri,visionfm,MRI,"[""MRI""]",https://drive.google.com/file/d/1fcfylnOWhfnZHBAKT9pQPufyS5ZYCXu0/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-oct,visionfm,OCT,"[""OCT""]",https://drive.google.com/file/d/1o6E-ine2QLx2pxap-c77u-SU0FjxwypA/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-slit-lamp,visionfm,Slit Lamp,"[""slit_lamp""]",https://drive.google.com/file/d/1pemWDkGoZYlqLQ6ooFINktyk8xnv9wY_/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-ubm,visionfm,UBM,"[""UBM""]",https://drive.google.com/file/d/1q2fVOgFBnWNu1BsXaza1A-OIcCiifNUQ/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionfm-ultrasound,visionfm,Ultrasound,"[""ultrasound""]",https://drive.google.com/file/d/1IlD0snowxdEVvxmiIBZGR0D9uOcrCT2D/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""有多个权重的模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
1.0,visionunite-default,visionunite,Default,"[""CFP"", ""OCT"", ""FFA"", ""MRI"", ""CT"", ""PET"", ""X_ray"", ""text""]",https://drive.google.com/file/d/1kbdpPklCdDxEgxcpsp4OgGjxvxKh5jpV/view?usp=sharing,google_drive,open,False,unknown,,,,,,,,seed_unverified,,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 9, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Seed metadata only; URL and redistribution terms have not been verified.""]"
